date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:53	52540/52540	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:24:57%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/blog-grid.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/blog-grid.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:53	58133/58133	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:07%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-blog.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-blog.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:54	58079/58079	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:06%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-blog-right-sidebar.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-blog-right-sidebar.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:54	45295/45295	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:24:58%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/contact.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/contact.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:54	154883/154883	---M--	200	added ('OK')	image/jpeg	etag:%22227f2cd8edc44a3c6ffc76b17efe56c2%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/home2-slider-img-1.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/home2-slider-img-1.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:54	80578/80578	---M--	200	added ('OK')	image/jpeg	etag:%2260f491746bcc9d55ca3efc23ce23f53f%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/home2-slider-img-2.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/home2-slider-img-2.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:54	30124/30124	---M--	200	added ('OK')	image/jpeg	etag:%22169cff2c8e9f5aabedad27739ad4b536%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-1.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-1.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:55	7030/7030	---M--	200	added ('OK')	image/jpeg	etag:%22bb901123f01d9cfb85e2241fb9484c8e%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-2.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-2.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:55	10995/10995	---M--	200	added ('OK')	image/jpeg	etag:%224b59bcd1e97b41696ed4a021d33262f4%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-3.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-3.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:55	48117/48117	---M--	200	added ('OK')	image/jpeg	etag:%22516dc1996174360fb715404a50aaecf2%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-4.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-4.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:55	25179/25179	---M--	200	added ('OK')	image/jpeg	etag:%221bdd420c5d136da30e516ce339c851c9%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-5.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-masonry-5.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:56	12874/12874	---M--	200	added ('OK')	image/jpeg	etag:%22449170a92eda55073f14f2cebc8af685%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/product-4.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/product-4.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:56	17646/17646	---M--	200	added ('OK')	image/jpeg	etag:%228c25206e38d5dca2fcd0253e127445fc%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/product-5.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/product-5.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:56	43265/43265	---M--	200	added ('OK')	image/jpeg	etag:%2209cb7c83fd012fd21baf15c9ba614f8d%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-home-one.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/banner-home-one.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:56	58122/58122	---M--	200	added ('OK')	image/jpeg	etag:%2248ce297f996061d905d8d8eea175b647%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/home2-banner.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/home2-banner.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:56	62272/62272	---M--	200	added ('OK')	image/jpeg	etag:%22c57cb51b134e09bfeddf82d32bb67bcb%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/sidebar-banner.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/sidebar-banner.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:57	50279/50279	---M--	200	added ('OK')	image/jpeg	etag:%22419956ba727c30521c9fbd096510e656%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/blog-thumb-1.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/blog-thumb-1.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:57	35092/35092	---M--	200	added ('OK')	image/jpeg	etag:%2220ec404dd0567e24c39e1d659ff05eec%22	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/blog-thumb-2.jpg	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/assets/img/blog-thumb-2.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
